버스정류장ARS번호,역명,17시승차총승객수,17시하차총승객수,18시승차총승객수,18시하차총승객수,19시승차총승객수,19시하차총승객수,정류소,퇴근시간대승차총승객수,퇴근시간대하차총승객수
18135,시흥사거리.금천파출소,2254,10847,2416,13862,2293,8766,시흥사거리.금천파출소(18135),6963,33475
18136,벽산아파트1단지.호압사입구,2607,35588,3048,50808,1935,54570,벽산아파트1단지.호압사입구(18136),7590,140966
18137,벽산아파트1단지.호압사입구,27645,2690,30128,3031,20669,2684,벽산아파트1단지.호압사입구(18137),78442,8405
18138,벽산아파트5단지,510,7426,413,10918,311,14021,벽산아파트5단지(18138),1234,32365
18139,벽산아파트5단지,6598,1268,5423,1374,2905,1659,벽산아파트5단지(18139),14926,4301
18140,시흥동은행나무.은행나무시장,23042,115,24378,116,16834,84,시흥동은행나무.은행나무시장(18140),64254,315
18141,시흥동은행나무.은행나무시장,235,52424,320,70570,305,72680,시흥동은행나무.은행나무시장(18141),860,195674
18142,은행나무입구사거리,7778,273,7730,295,5591,317,은행나무입구사거리(18142),21099,885
18143,은행나무입구사거리,308,21620,329,22584,263,22348,은행나무입구사거리(18143),900,66552
18144,독산한신아파트,3160,10441,2560,16221,1530,17612,독산한신아파트(18144),7250,44274
18145,금하마을,2477,191,2267,251,1593,112,금하마을(18145),6337,554
18146,독산고개,5246,14504,4894,17686,4267,15768,독산고개(18146),14407,47958
18147,독산고개,20930,8596,24389,10391,15735,7262,독산고개(18147),61054,26249
18148,독산사거리.한국전력구로금천지사,3448,6473,3246,7088,1785,6957,독산사거리.한국전력구로금천지사(18148),8479,20518
18149,남문시장.청춘삘딩,24020,10131,28690,9817,21984,7630,남문시장.청춘삘딩(18149),74694,27578
18150,금천우체국.독산1동주민센터,13678,12646,16428,19094,14304,17554,금천우체국.독산1동주민센터(18150),44410,49294
18151,디지털단지오거리.가산파출소,33617,21841,67285,24773,39788,19315,디지털단지오거리.가산파출소(18151),140690,65929
18152,홈플러스금천점,17602,12918,20089,15301,17455,13755,홈플러스금천점(18152),55146,41974
18153,홈플러스금천점,3450,7662,5305,7092,4279,5319,홈플러스금천점(18153),13034,20073
18160,시흥사거리,3140,4901,3479,7155,2703,4437,시흥사거리(18160),9322,16493
18162,문일고입구,1514,1158,1897,1597,1962,1330,문일고입구(18162),5373,4085
18163,문일고입구,2363,2506,2595,2400,1845,1841,문일고입구(18163),6803,6747
18164,남서울힐스테이트.국립전통예술고,69,3480,140,3655,180,3457,남서울힐스테이트.국립전통예술고(18164),389,10592
18165,금천폭포공원.천주교시흥성당,2517,486,3036,559,2217,230,금천폭포공원.천주교시흥성당(18165),7770,1275
18166,박미마을,15,6465,39,8376,18,8067,박미마을(18166),72,22908
18167,박미마을,6546,294,9742,495,4926,312,박미마을(18167),21214,1101
18168,기아대교,2,813,0,821,3,880,기아대교(18168),5,2514
18169,시흥3동주민센터,3056,313,3768,203,2521,242,시흥3동주민센터(18169),9345,758
18170,석수역,8324,44,10318,43,6082,51,석수역(18170),24724,138
18171,백산초등학교,4399,11349,3909,11668,3056,9559,백산초등학교(18171),11364,32576
18172,백산초등학교,16861,10608,20957,15229,19563,15129,백산초등학교(18172),57381,40966
18173,은행나무입구사거리,2000,9495,2235,11399,1938,11663,은행나무입구사거리(18173),6173,32557
